_id,entity_names,length
563b937065f2883a11116e51,Heko + Life,3
563b937065f2883a11116e52,Mark Alexander,2
563b937065f2883a11116e53,G-Factor by Gelati,3
563b937065f2883a11116e54,Poetry,1
563b937065f2883a11116e55,Sugar,1
563b937065f2883a11116e56,Tim Felton,2
563b937065f2883a11116e57,Liberty Bags,2
563b937065f2883a11116e58,Sundance,1
563b937065f2883a11116e59,Duchamp London,2
563b937065f2883a11116e5a,Wild Diva,2
563b937065f2883a11116e5b,Kewl,1
563b937065f2883a11116e5c,Stella Cadente,2
563b937065f2883a11116e5d,Corbin,1
563b937065f2883a11116e5e,National Standard,2
563b937065f2883a11116e5f,SPY,1
563b937065f2883a11116e60,isaia,1
563b937065f2883a11116e61,Sitwell,1
563b937065f2883a11116e62,Loudmouth Golf,2
563b937065f2883a11116e63,Too Fast,2
563b937065f2883a11116e64,Bar III,2
563b937065f2883a11116e65,Jedidiah,1
563b937065f2883a11116e66,Polly & Friends,3
563b937065f2883a11116e67,Nissa,1
563b937065f2883a11116e68,SPM,1
563b937065f2883a11116e69,Novemb3r,1
563b937065f2883a11116e6a,Slinky Brand,2
563b937065f2883a11116e6b,Chuck Taylor,2
563b937065f2883a11116e6c,Harris Tweed Clothing,3
563b937065f2883a11116e6d,BCBG Paris,2
563b937065f2883a11116e6e,Nilda's Knick Knacks,3
563b937065f2883a11116e6f,Blade,1
563b937065f2883a11116e70,limited by name it,4
563b937065f2883a11116e71,Usual Way,2
563b937065f2883a11116e72,AG Adriano Goldschmied,3
563b937065f2883a11116e73,TEHÁMA,1
563b937065f2883a11116e74,Volley,1
563b937065f2883a11116e75,Yes to Baby Carrots,4
563b937065f2883a11116e76,Koolaburra,1
563b937065f2883a11116e77,SUGOI,1
563b937065f2883a11116e78,Spurr,1
563b937065f2883a11116e79,Mishka,1
563b937065f2883a11116e7a,Etro,1
563b937065f2883a11116e7b,ASSETS,1
563b937065f2883a11116e7c,Bandit,1
563b937065f2883a11116e7d,Ultimo,1
563b937065f2883a11116e7e,Etra,1
563b937065f2883a11116e7f,Brooklyn Motors,2
563b937065f2883a11116e80,schmittundschäfer,1
563b937065f2883a11116e81,Trijicon,1
563b937065f2883a11116e82,Hilary Radley,2
563b937065f2883a11116e83,East 5th,2
563b937065f2883a11116e84,Red Bull Racing Eyewear,4
563b937065f2883a11116e85,Zena Sport,2
563b937065f2883a11116e86,The Mobile Society,3
563b937065f2883a11116e87,Bavaria,1
563b937065f2883a11116e88,Mobile Edge,2
563b937065f2883a11116e89,Premium Vintage by Jack & Jones,6
563b937065f2883a11116e8a,Calamar,1
563b937065f2883a11116e8b,Archie Comics,2
563b937065f2883a11116e8c,Revoni,1
563b937065f2883a11116e8d,K&M,1
563b937065f2883a11116e8e,6 Degrees,2
563b937065f2883a11116e8f,ONETrueSaxon,1
563b937065f2883a11116e90,Will'beth,1
563b937065f2883a11116e91,Red Line,2
563b937065f2883a11116e92,Black Flys,2
563b937065f2883a11116e93,Body Wrappers,2
563b937065f2883a11116e94,Remetee,1
563b937065f2883a11116e95,New Identity,2
563b937065f2883a11116e96,Anna Scott,2
563b937065f2883a11116e97,Matilda Jane,2
563b937065f2883a11116e98,Hamilton,1
563b937065f2883a11116e99,Indigo Star,2
563b937065f2883a11116e9a,Bensimon,1
563b937065f2883a11116e9b,L.A. Baby,2
563b937065f2883a11116e9c,Paulo Fanello,2
563b937065f2883a11116e9d,MESSAGERIE,1
563b937065f2883a11116e9e,Otto Kern,2
563b937065f2883a11116e9f,Akademiks,1
563b937065f2883a11116ea0,Illesteva,1
563b937065f2883a11116ea1,Sioux,1
563b937065f2883a11116ea2,Bagheera,1
563b937065f2883a11116ea3,Joes Jeans,2
563b937065f2883a11116ea4,Bed|Stü,1
563b937065f2883a11116ea5,Mini Boden,2
563b937065f2883a11116ea6,Isharya,1
563b937065f2883a11116ea7,Team Athletics,2
563b937065f2883a11116ea8,Miss A Couture,3
563b937065f2883a11116ea9,Mabitex,1
563b937065f2883a11116eaa,Sessun,1
563b937065f2883a11116eab,Caiman,1
563b937065f2883a11116eac,MySuelly,1
563b937065f2883a11116ead,Playmobil,1
563b937065f2883a11116eae,Marco Tozzi,2
563b937065f2883a11116eaf,Carlo Fellini,2
563b937065f2883a11116eb0,Dominique,1
563b937065f2883a11116eb1,Thomas Wylde,2
563b937065f2883a11116eb2,0039 Italy,2
563b937065f2883a11116eb3,Feathers,1
563b937065f2883a11116eb4,Hamam,1
563b937065f2883a11116eb5,Fioravanti,1
563b937065f2883a11116eb6,Top Moda,2
563b937065f2883a11116eb7,Emma & Michele,3
563b937065f2883a11116eb8,Mark Maddox,2
563b937065f2883a11116eb9,Alternative,1
563b937065f2883a11116eba,Charli,1
563b937065f2883a11116ebb,English Laundry,2
563b937065f2883a11116ebc,Ragazzi by Wegener,3
563b937065f2883a11116ebd,Audi,1
563b937065f2883a11116ebe,Bob Siemon Designs,3
563b937065f2883a11116ebf,Dexter,1
563b937065f2883a11116ec0,Honda,1
563b937065f2883a11116ec1,R & Y Augousti,4
563b937065f2883a11116ec2,Cappagallo,1
563b937065f2883a11116ec3,Atletica,1
563b937065f2883a11116ec4,Basix,1
563b937065f2883a11116ec5,Revolver,1
563b937065f2883a11116ec6,Diavolezza,1
563b937065f2883a11116ec7,Zanier,1
563b937065f2883a11116ec8,Ingrid & Isabel,3
563b937065f2883a11116ec9,Yelete,1
563b937065f2883a11116eca,Bearington Collection,2
563b937065f2883a11116ecb,Blue Bird,2
563b937065f2883a11116ecc,Franklin Covey,2
563b937065f2883a11116ecd,Balducci,1
563b937065f2883a11116ece,Store It,2
563b937065f2883a11116ecf,Rhodia,1
563b937065f2883a11116ed0,Esbit,1
563b937065f2883a11116ed1,Gabriel homme,2
563b937065f2883a11116ed2,Corning,1
563b937065f2883a11116ed3,Dolly Do,2
563b937065f2883a11116ed4,Chadwicks,1
563b937065f2883a11116ed5,Brighton,1
563b937065f2883a11116ed6,Christina,1
563b937065f2883a11116ed7,I.Code by IKKS,3
563b937065f2883a11116ed8,Calver,1
563b937065f2883a11116ed9,Ti Sento,2
563b937065f2883a11116eda,Emerson,1
563b937065f2883a11116edb,Persol,1
563b937065f2883a11116edc,Good Life,2
563b937065f2883a11116edd,Z Cavaricci,2
563b937065f2883a11116ede,Blue Asphalt,2
563b937065f2883a11116edf,Chinook,1
563b937065f2883a11116ee0,American Retro,2
563b937065f2883a11116ee1,Chiara Morgante,2
563b937065f2883a11116ee2,Indigo,1
563b937065f2883a11116ee3,memo Côte&Ciel,2
563b937065f2883a11116ee4,German Garment,2
563b937065f2883a11116ee5,Great American Buckle Company,4
563b937065f2883a11116ee6,Meru,1
563b937065f2883a11116ee7,New Chef Fashion,3
563b937065f2883a11116ee8,L'Étoile du Cachemire,3
563b937065f2883a11116ee9,Luna,1
563b937065f2883a11116eea,Quer,1
563b937065f2883a11116eeb,Gordon Rush,2
563b937065f2883a11116eec,Nylo,1
563b937065f2883a11116eed,Backtee,1
563b937065f2883a11116eee,Merc,1
563b937065f2883a11116eef,FERA,1
563b937065f2883a11116ef0,Capo,1
563b937065f2883a11116ef1,Kraus,1
563b937065f2883a11116ef2,Michael Hoban,2
563b937065f2883a11116ef3,Caval,1
563b937065f2883a11116ef4,Iguana Med,2
563b937065f2883a11116ef5,Fashionvictime,1
563b937065f2883a11116ef6,Wiwigs,1
563b937065f2883a11116ef7,Bike,1
563b937065f2883a11116ef8,Bar Lll,2
563b937065f2883a11116ef9,Energie,1
563b937065f2883a11116efa,Blaumann,1
563b937065f2883a11116efb,LF,1
563b937065f2883a11116efc,Eagle,1
563b937065f2883a11116efd,Beach Time,2
563b937065f2883a11116efe,Black Widow,2
563b937065f2883a11116eff,Skeem Design,2
563b937065f2883a11116f00,Attention,1
563b937065f2883a11116f01,Jones New York,3
563b937065f2883a11116f02,G. H. Bass & Co.,5
563b937065f2883a11116f03,Falcon,1
563b937065f2883a11116f04,Blue Seven,2
563b937065f2883a11116f05,Bree,1
563b937065f2883a11116f06,HEAD,1
563b937065f2883a11116f07,Toms,1
563b937065f2883a11116f08,Bates,1
563b937065f2883a11116f09,Dyrberg/Kern,1
563b937065f2883a11116f0a,MOSCHINO SWIM,2
563b937065f2883a11116f0b,Chalk Line,2
563b937065f2883a11116f0c,Players,1
563b937065f2883a11116f0d,Fiorelli Jewelry,2
563b937065f2883a11116f0e,Urban Explorer,2
563b937065f2883a11116f0f,Dr Pepper,2
563b937065f2883a11116f10,French Connection,2
563b937065f2883a11116f11,White House Black Market,4
563b937065f2883a11116f12,Diana Sport,2
563b937065f2883a11116f13,Vanessa Bruno Athé,3
563b937065f2883a11116f14,Noosa Amsterdam,2
563b937065f2883a11116f15,Buck Knives,2
563b937065f2883a11116f16,Monag,1
563b937065f2883a11116f17,Mark’s,1
563b937065f2883a11116f18,Art,1
563b937065f2883a11116f19,Lisa International,2
563b937065f2883a11116f1a,Quinn,1
563b937065f2883a11116f1b,Studio La Perla,3
563b937065f2883a11116f1c,Triangle by s.Oliver,3
563b937065f2883a11116f1d,By Design,2
563b937065f2883a11116f1e,Sarah Spencer,2
563b937065f2883a11116f1f,Resistol,1
563b937065f2883a11116f20,Requirements,1
563b937065f2883a11116f21,Lion Apparel,2
563b937065f2883a11116f22,Ferré Milano,2
563b937065f2883a11116f23,Blackstone,1
563b937065f2883a11116f24,LaVane,1
563b937065f2883a11116f25,Circo,1
563b937065f2883a11116f26,Un:usual,1
563b937065f2883a11116f27,Franco Roma,2
563b937065f2883a11116f28,Circa,1
563b937065f2883a11116f29,Hip,1
563b937065f2883a11116f2a,Studio Apostrophe,2
563b937065f2883a11116f2b,Gianna di Firenze,3
563b937065f2883a11116f2c,Smithy,1
563b937065f2883a11116f2d,Koziol,1
563b937065f2883a11116f2e,Head over Heels,3
563b937065f2883a11116f2f,Care Plus,2
563b937065f2883a11116f30,Desigual,1
563b937065f2883a11116f31,Angel-Secret,1
563b937065f2883a11116f32,Polo Sylt,2
563b937065f2883a11116f33,Antonio Cerrelli,2
563b937065f2883a11116f34,Aesop,1
563b937065f2883a11116f35,Rina Rich,2
563b937065f2883a11116f36,Yokisho & Maki,3
563b937065f2883a11116f37,Headhunter,1
563b937065f2883a11116f38,P. FLYERS,2
563b937065f2883a11116f39,Dillards,1
563b937065f2883a11116f3a,Sandbaggers,1
563b937065f2883a11116f3b,MRX,1
563b937065f2883a11116f3c,Seta,1
563b937065f2883a11116f3d,Hotelschecks,1
563b937065f2883a11116f3e,Volvo,1
563b937065f2883a11116f3f,Corinne Cobson,2
563b937065f2883a11116f40,Dear Cashmere,2
563b937065f2883a11116f41,Forever Unique,2
563b937065f2883a11116f42,Solitaire,1
563b937065f2883a11116f43,Badger Sport,2
563b937065f2883a11116f44,Shoe Be Doo,3
563b937065f2883a11116f45,3.1 Phillip Lim,3
563b937065f2883a11116f46,Specialized,1
563b937065f2883a11116f47,Mary Norton,2
563b937065f2883a11116f48,Shield,1
563b937065f2883a11116f49,Habitat,1
563b937065f2883a11116f4a,APS,1
563b937065f2883a11116f4b,Valisere,1
563b937065f2883a11116f4c,Wessi,1
563b937065f2883a11116f4d,APC,1
